Ticker,close,date,high,low,month,open,sector,symbol,volume
ADANIENT,2362.7,2023-12-01 05:30:00,2403.35,2354.1,2023-12-01,2370.0,MISCELLANEOUS,ADANIENT,1792983
ADANIENT,2531.2,2023-12-04 05:30:00,2595.0,2487.45,2023-12-01,2549.95,MISCELLANEOUS,ADANIENT,5681516
ADANIENT,2959.35,2023-12-05 05:30:00,2999.9,2531.2,2023-12-01,2531.2,MISCELLANEOUS,ADANIENT,22879079
ADANIENT,2883.95,2023-12-06 05:30:00,3154.55,2844.85,2023-12-01,3080.0,MISCELLANEOUS,ADANIENT,19355777
ADANIENT,2887.15,2023-12-07 05:30:00,2945.9,2853.05,2023-12-01,2900.0,MISCELLANEOUS,ADANIENT,6325887
ADANIENT,2822.15,2023-12-08 05:30:00,2927.0,2760.0,2023-12-01,2902.7,MISCELLANEOUS,ADANIENT,6959428
ADANIENT,2855.8,2023-12-11 05:30:00,2919.9,2811.05,2023-12-01,2837.05,MISCELLANEOUS,ADANIENT,5064123
ADANIENT,2857.65,2023-12-12 05:30:00,2895.95,2840.55,2023-12-01,2869.1,MISCELLANEOUS,ADANIENT,2017772
ADANIENT,2875.05,2023-12-13 05:30:00,2899.1,2805.0,2023-12-01,2860.0,MISCELLANEOUS,ADANIENT,2805832
ADANIENT,2894.05,2023-12-14 05:30:00,2932.95,2887.0,2023-12-01,2900.95,MISCELLANEOUS,ADANIENT,3224681
ADANIENT,2991.8,2023-12-15 05:30:00,3000.0,2893.9,2023-12-01,2912.05,MISCELLANEOUS,ADANIENT,4921484
ADANIENT,2980.6,2023-12-18 05:30:00,3027.75,2961.1,2023-12-01,2993.95,MISCELLANEOUS,ADANIENT,2315922
ADANIENT,2941.25,2023-12-19 05:30:00,2994.35,2915.0,2023-12-01,2988.8,MISCELLANEOUS,ADANIENT,1741493
ADANIENT,2783.85,2023-12-20 05:30:00,2968.0,2766.2,2023-12-01,2946.0,MISCELLANEOUS,ADANIENT,3417739
ADANIENT,2799.75,2023-12-21 05:30:00,2821.95,2725.0,2023-12-01,2750.0,MISCELLANEOUS,ADANIENT,2678577
ADANIENT,2808.35,2023-12-22 05:30:00,2847.6,2791.4,2023-12-01,2815.95,MISCELLANEOUS,ADANIENT,1513956
ADANIENT,2865.45,2023-12-26 05:30:00,2893.75,2800.1,2023-12-01,2817.0,MISCELLANEOUS,ADANIENT,2048484
ADANIENT,2843.35,2023-12-27 05:30:00,2894.8,2833.6,2023-12-01,2880.7,MISCELLANEOUS,ADANIENT,1698325
ADANIENT,2809.9,2023-12-28 05:30:00,2867.35,2800.1,2023-12-01,2855.0,MISCELLANEOUS,ADANIENT,4102912
ADANIENT,2848.95,2023-12-29 05:30:00,2863.3,2802.85,2023-12-01,2823.9,MISCELLANEOUS,ADANIENT,1507086
ADANIENT,2917.2,2024-01-01 05:30:00,2947.0,2842.05,2024-01-01,2852.3,MISCELLANEOUS,ADANIENT,2898619
ADANIENT,2932.4,2024-01-02 05:30:00,2948.2,2841.0,2024-01-01,2922.0,MISCELLANEOUS,ADANIENT,2671368
ADANIENT,3003.0,2024-01-03 05:30:00,3199.0,2955.6,2024-01-01,3047.0,MISCELLANEOUS,ADANIENT,19725411
ADANIENT,2998.3,2024-01-04 05:30:00,3044.45,2990.0,2024-01-01,3039.4,MISCELLANEOUS,ADANIENT,2975620
ADANIENT,3006.6,2024-01-05 05:30:00,3066.9,2981.1,2024-01-01,3009.95,MISCELLANEOUS,ADANIENT,3219949
ADANIENT,2963.5,2024-01-08 05:30:00,3027.0,2952.95,2024-01-01,3020.0,MISCELLANEOUS,ADANIENT,1849061
ADANIENT,3014.6,2024-01-09 05:30:00,3068.8,2980.0,2024-01-01,2990.7,MISCELLANEOUS,ADANIENT,2885706
